,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,2.7509682687501544,3.125174606250138,5.006589906250517,,1.5935366300000087,2.1800999900000058,3.1445540649998898,,4.964562325000344,6.205404587500065,11.141889425000114,
std,1.6880215631549325,2.0681376968373355,5.304054507616055,,0.8651435291713683,1.4127847627882288,2.783316134962334,,4.727409570476284,4.388722385262304,14.739420474270087,
min,1.0674655,0.6114685999999999,0.6539975,,0.5288359,0.7814658,0.6223991,,1.3188825000000002,0.7883051,0.9859273000000001,
25%,1.6292784500000002,1.698765725,1.52876765,,0.9172711375,1.14206775,1.37891965,,2.0498779999999996,3.345103275,2.7190545999999998,
50%,2.032105,2.5724571,2.9829002000000004,,1.47022835,1.7995990000000002,1.9010109499999999,,3.4336823,5.06896235,4.628241149999999,
75%,3.8212496,4.04483585,5.4540828,,1.9481270999999998,2.3971289,3.88788935,,5.6281204,9.677622,12.54525625,
max,7.375864,7.789956599999999,20.231926,,4.047073,5.629251,9.826984,,20.185589999999998,15.613241,59.790890000000005,
