,AAB: S(AAB|prime),AAB: S(ABA|prime),AAB: S(ABB|prime),AAB: S(ABC|prime),ABA: S(AAB|prime),ABA: S(ABA|prime),ABA: S(ABB|prime),ABA: S(ABC|prime),ABB: S(AAB|prime),ABB: S(ABA|prime),ABB: S(ABB|prime),ABB: S(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,40.60803748991186,41.83737551232955,40.16895922073297,43.47550221968225,40.77145195827749,41.95239758086822,40.257122555447815,43.50137350987712,40.81309431985908,41.8826556849595,40.260557823141355,43.45006186565317
std,6.431157349157879,6.277664429829691,7.9853952510977955,6.11117250778921,6.4686632158690225,6.264107505798837,8.01790806207067,6.104056425497924,6.403457148566321,6.171063399618482,7.980973480514619,6.060014987368838
min,17.58452183524657,18.656604840807574,10.569186745475744,20.998106294989505,18.084146763468855,18.245481240621807,11.876367239110298,20.302865610404663,16.495343428523412,15.794647705516416,9.351271220824312,22.16267770136784
25%,36.226010733928604,37.58349248348186,34.825780437391415,39.33832872116844,36.42078040399507,37.74663138294804,35.00536306898142,39.45512026322373,36.507657224586595,37.81103381345697,35.02108282793034,39.370510558037076
50%,40.43022273412352,41.67107229845636,40.14984147620152,43.27082859777874,40.66453057404095,41.85502152025834,40.22227520425028,43.338973399908866,40.76033744244653,41.764466302582164,40.23873093286814,43.35729831198415
75%,44.78682544507817,45.92490248127873,45.43185377358901,47.41032626755981,44.96344700054466,45.896108604074385,45.41832643186859,47.39578272079797,45.051202091896776,45.893075888443356,45.44593733179262,47.22117129660657
max,67.63800768510768,69.53252905467,76.93686734603813,72.68092610274539,68.07690009254718,73.24265597129595,73.72898679031634,69.89124391580125,66.93372070469897,68.66539303179849,74.39127391664354,76.17087884335399
