,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,4000608601.2460003,3372959.2137900875,266830593555.3164,169403884.89558914,1993066253.0654984,22776622.88585961,213874650182.23636,6705334.134113708,432138817.1009852,14025193.669150457,16068471461.52693,16078845.603219187
std,438382400398.37384,112163356.40656155,27232702861025.152,16590795085.9688,220309763000.11554,1588815757.049027,19517997338243.1,246342782.13481513,35925720656.68794,673367590.6376147,736518787831.3236,896636529.4392772
min,1.1953694e-11,4.795338599999999e-10,1.6433095000000002e-15,2.8322497000000004e-10,3.753612e-12,1.6144366e-09,1.1493606e-13,8.821643400000001e-10,6.6285592e-12,1.764912e-10,1.2586227e-13,8.379851e-11
25%,0.060977777500000004,0.1252081275,0.0631031115,0.187770885,0.05788248175,0.11439883249999999,0.05975451175,0.18747886000000002,0.06198463125,0.118123509,0.0629002,0.21429473
50%,4.108855,6.213395,8.10534375,8.848908250000001,3.5806026500000003,5.49565645,7.598228499999999,8.34881025,3.5413166499999997,6.025735,7.6018152500000005,8.868333
75%,257.0777025,345.05411250000003,1357.977375,427.671205,231.06431500000002,305.2755975,1339.42225,435.67916,206.082655,289.3913225,1183.6702500000001,402.55520250000006
max,48594100000000.0,9764343000.0,3014523500000000.0,1832853300000.0,24421606000000.0,171378340000.0,2134956200000000.0,20409008000.0,3830664100000.0,63863796000.0,54546215000000.0,82806690000.0
