,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,1184096962972903.5,831198444031608.0,5975069057846030.0,2633179497196983.0,1788295433886254.2,3000284349092147.5,6209074149353605.0,4302661110740062.5,198504241424064.75,148030126989490.03,291601032997910.06,41204757686738.88
std,4.099531211257341e+16,5.372278069179549e+16,2.948867163999525e+17,2.4020044041293123e+17,4.856794866168799e+16,2.0536467615598048e+17,2.7965525986436387e+17,2.775048071070099e+17,7276119583541875.0,1.0220111584332168e+16,1.7060901976469192e+16,1837879935881844.2
min,0.0009324573300000001,0.0043734466,0.0014810517000000002,0.0046242354,6.3255643e-06,0.011093816999999999,0.003567147,0.0050531267,5.622953e-06,1.003363e-05,6.802643e-05,0.0005094022
25%,606890.815,218653.9725,325565.1975,728446.975,852074.9500000001,335705.98,254974.02,917133.2549999999,21711.535499999998,9010.87725,11056.642249999999,25332.22225
50%,244921630.0,45623648.0,84383525.0,143841310.0,281590120.0,61045320.0,79369927.0,210655055.0,6656389.0,1626840.9,2616400.85,5181679.0
75%,40473972500.0,7454964250.0,14977785250.0,19612601500.0,48840767500.0,10886715750.0,16685369500.0,31997923750.0,902442390.0,249650220.0,415693980.0,608184925.0
max,3.1923028e+18,5.436833e+18,2.7752835e+19,2.6561971e+19,4.4195145e+18,2.0047365e+19,2.701293e+19,2.6288184e+19,4.843072e+17,8.660902e+17,1.381901e+18,1.387205e+17
