,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.93901134,0.8720153,0.9521626,2.3360927,27550,23028,42841,4.5771453e-06,3.331321e-05,2.8821543e-05,4.3234004e-06,2.8592627e-05,3.7402134e-10,4.2749034e-06,2.9580133e-05,2.8977202e-05,4.2458623e-06,3.0660663e-05,9.840174e-10
1,2.5698302,2.722608,8.381233,7.861196,27550,19013,42841,4.5771444e-06,6.782034e-10,7.254926e-10,4.7665685e-06,7.559105e-10,3.437102e-10,4.2749034e-06,2.0694377e-09,1.9962076e-09,4.253031e-06,2.07628e-09,8.855002e-10
2,4.7207646,5.395505,25.401445,11.115541,27550,32804,42841,4.5771453e-06,3.0060773e-11,3.05665e-11,4.499987e-06,3.631272e-11,4.810198e-10,4.2749034e-06,1.621008e-10,1.5449929e-10,4.502547e-06,1.7105359e-10,9.915361e-10
3,3.6793146,4.514594,14.322961,10.466758,27550,26649,42841,4.5771444e-06,2.6120835e-11,2.8338274e-11,4.0984637e-06,3.7651864e-11,3.8473524e-10,4.2749034e-06,1.1626082e-10,1.1163712e-10,4.1571284e-06,1.2116382e-10,9.0474833e-10
4,2.05765,2.1154358,1.2496212,3.601856,42841,23028,41486,5.3890314e-10,2.7495484e-05,2.8958004e-05,5.632517e-10,2.6455293e-05,3.088289e-07,1.0926464e-09,2.9722803e-05,2.9388082e-05,1.1022344e-09,3.0581763e-05,1.0290012e-06
5,5.951146,6.5936413,8.913561,8.025131,42841,19013,41486,5.3890314e-10,7.701548e-10,7.435709e-10,4.3946471e-10,7.130713e-10,3.834416e-07,1.0926465e-09,2.219805e-09,2.182499e-09,1.0053389e-09,2.205197e-09,1.0676148e-06
6,9.353546,9.61876,26.500158,16.74765,42841,32804,41486,5.3890314e-10,3.4637786e-11,3.717021e-11,5.8224847e-10,3.4633005e-11,3.1584818e-07,1.0926464e-09,1.7618265e-10,1.7147563e-10,1.1010687e-09,1.80437e-10,1.0399662e-06
7,7.198856,7.3250413,10.547296,12.064243,42841,26649,41486,5.3890314e-10,2.9938562e-11,3.614389e-11,6.0232325e-10,5.5697478e-11,3.7341707e-07,1.0926465e-09,1.2924757e-10,1.2833036e-10,1.0219938e-09,1.3607715e-10,1.0435249e-06
8,1.3327638,1.935036,1.037973,2.903016,41486,23028,32845,8.359679e-07,2.9163139e-05,2.7322398e-05,5.327662e-07,2.9437215e-05,9.4785985e-11,1.0572733e-06,2.9305958e-05,2.8792167e-05,1.0258976e-06,3.0406129e-05,2.7382424e-10
9,2.7149255,3.27594,4.675664,6.105478,41486,19013,32845,8.359679e-07,1.0650532e-09,1.0241991e-09,6.601738e-07,9.874555e-10,8.3111136e-11,1.0572733e-06,2.2012494e-09,2.1985922e-09,1.0463964e-06,2.2338953e-09,2.455166e-10
