,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,2.2017409612174483,2.3544707697151797,3.5962973855159563,3.1154677140722584,1.845709159714355,1.9642245812247676,2.9327242381624328,2.721552674179676,4.763285766893289,4.961506629010432,8.431818873007797,6.875736012240371
std,1.8025081307163384,1.695168549799144,4.661723025281921,2.3815080239942055,1.432219926519512,1.290049248394754,3.5674658811415494,1.872992852757639,5.465308246380282,4.5664789918927635,20.304690501429214,6.875670761174758
min,0.06419354,0.21942969,0.16547276,0.19530906,0.06477691,0.21041237,0.18716463,0.18614925,0.102804855,0.22767168,0.14108442,0.29758683
25%,1.1535551999999998,1.2886499,1.4139927749999999,1.64937175,1.041533375,1.15492005,1.336546975,1.5708853249999999,2.0486628500000004,2.219418225,2.3883843750000002,2.96748185
50%,1.75647895,1.9239873,2.515747,2.5217684,1.5413093,1.6653386000000001,2.18044235,2.2928885,3.472533,3.7369076000000003,5.34670685,5.0898520000000005
75%,2.7108277,2.9165281500000004,4.47740925,3.8470038749999995,2.2580346000000002,2.4136283499999998,3.5643881250000002,3.33163865,5.889487825000001,6.3240906500000005,10.5485495,8.747259
max,72.3786,35.8087,279.78754,66.59549,67.683136,34.196728,215.98822,54.223859999999995,305.29425,150.19153,1678.3297,231.26129
