,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.6584136,0.49513194,1.0433991,1.0049058,44976,3045,3150,4.0464576e-07,4.072203e-10,3.5094233e-10,4.8642596e-07,3.7004858e-10,1.8177442e-08,2.3966518e-07,3.6328385e-10,3.901257e-10,2.6997344e-07,4.3280526e-10,2.0475825e-08
1,0.73390305,0.6038803,1.5853301,1.1585081,44976,9940,3150,4.0464573e-07,4.2576806e-10,3.9446366e-10,4.5185752e-07,3.5006814e-10,1.7853305e-08,2.3966518e-07,4.460463e-10,4.8878257e-10,2.6046268e-07,5.2974325e-10,1.9742894e-08
2,1.2993016,1.2508899,6.0674224,2.3357935,44976,23611,3150,4.0464576e-07,1.7572417e-10,1.4144128e-10,3.3328027e-07,8.801406e-11,1.4122362e-08,2.3966518e-07,2.9208275e-10,3.102817e-10,2.5081545e-07,3.2127867e-10,1.9845745e-08
3,1.5970347,1.8638959,10.875211,3.1959736,44976,45513,3150,4.0464573e-07,9.864722e-10,8.646894e-10,2.924517e-07,5.2029175e-10,1.3410723e-08,2.3966518e-07,2.2075262e-09,2.3315487e-09,2.435874e-07,2.528504e-09,1.9152894e-08
4,0.98157233,0.9233891,0.83437145,1.3976291,3150,3045,39386,1.6362158e-08,3.4251035e-10,4.1108947e-10,2.1911331e-08,4.946727e-10,4.8376787e-06,1.783113e-08,3.506458e-10,3.7027156e-10,1.9763261e-08,4.0316467e-10,6.604411e-06
5,1.2896119,1.3911314,2.1316857,2.0496159,3150,9940,39386,1.636216e-08,2.813676e-10,3.6766146e-10,2.1270294e-08,3.5719522e-10,4.80711e-06,1.7831125e-08,4.2043707e-10,4.3507992e-10,1.9802258e-08,5.095677e-10,6.593706e-06
6,1.9876925,2.3176687,6.302817,2.9298527,3150,23611,39386,1.6362158e-08,1.425488e-10,1.6082537e-10,1.7604382e-08,1.0612695e-10,4.3212776e-06,1.783113e-08,2.834227e-10,2.9333605e-10,2.052112e-08,3.3642583e-10,6.3677635e-06
7,2.817481,3.3489008,16.288345,4.6967998,3150,45513,39386,1.636216e-08,8.0288814e-10,8.967656e-10,1.593291e-08,4.4353404e-10,3.6537951e-06,1.7831125e-08,2.2640176e-09,2.3184719e-09,1.8922243e-08,2.5620002e-09,6.0858533e-06
8,0.8899417,0.6772933,0.6109831,1.4284688,39386,3045,46883,8.244741e-06,4.5380488e-10,2.9444006e-10,7.4319914e-06,4.5720758e-10,1.9710514e-10,6.5877525e-06,3.220052e-10,3.279429e-10,7.0939523e-06,3.9368503e-10,3.9680303e-10
9,1.0414878,0.8813341,1.0767072,1.4543608,39386,9940,46883,8.2447405e-06,4.6485366e-10,3.2446898e-10,7.0224078e-06,4.0638154e-10,2.5687327e-10,6.5877525e-06,4.0695028e-10,4.2292864e-10,7.0697097e-06,4.998118e-10,4.267426e-10
