,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,126452049277.23701,1890095662231.4639,8718512368.912012,,5714620.678489238,4.646750678047713e+16,11732435388.459429,,4242.653620401954,26689338424.351593,550237848.5846634,
std,479580812722.0798,6431353326422.934,27338980669.11157,,17818187.95500495,1.4553415324401424e+17,32565193558.590668,,10765.224421751589,92416935469.58665,2102643021.7935333,
min,10.71258,174.0706,0.013641452,,159.04799,13160.236,0.06440794,,0.038407363,0.2651741,0.0003408774,
25%,7553.309725,1483.48044,2914.155075,,14232.289075,4439949.75,7221.809464999999,,3.7542640250000003,4.5982266,3.275282225,
50%,198804.9135,6734.6591499999995,372331.24,,48004.132,226167065.0,12110113.25,,23.461333000000003,50.828855999999995,615.09665,
75%,526302880.5,114897760.0,109277908.0,,2345843.875,641655145679400.0,1443739250.0,,788.54622,1191750.2907,96063.7825,
max,1983559600000.0,26558465000000.0,111824210000.0,,74340660.0,5.9600464e+17,131827830000.0,,40648.195,382133470000.0,8692751000.0,
