,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,2.5970454249998833,3.066545158750173,4.954427312499866,,2.1660438406250355,4.282364912499828,6.087810743749903,,1.9380943899999181,3.285159253125094,5.511604231249943,
std,1.259619049943341,1.6023219259991366,3.9839087601740752,,1.2334626564817541,2.615239135590234,4.815918042724678,,0.7979592360209172,1.9026115534605887,5.415014649037304,
min,1.1594818999999998,0.85972124,1.4558518999999999,,0.84570235,0.8558517,2.1270564,,0.71932864,0.95177525,1.6927101999999998,
25%,1.6465731749999999,2.1029799249999996,2.332641525,,1.301470275,2.32427025,2.7010410250000003,,1.2670924000000001,1.8028384000000002,2.1951283,
50%,2.2254551499999997,2.6118442,3.1077247999999997,,1.7676267,3.11219775,3.99730115,,2.1031323,2.2994996,2.8094188,
75%,3.0318351,3.3089478750000003,6.024976875,,2.7288397250000003,5.838875675000001,7.326336975,,2.377518725,4.709558225,5.996362,
max,5.9009175,6.557709,15.226220999999999,,5.1404247000000005,9.413799000000001,18.710785,,3.8564832,7.187296000000001,21.650146,
