,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.24538021,0.6942193,0.2575709,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.766887e-06,2.4945483e-09,9.333092e-06,6.0887793e-09,1.8480578e-06,
1,0.27504352,0.5750522,0.7843958,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.7668877e-06,6.888575e-09,9.0496997e-07,8.687243e-08,7.745547e-06,
2,0.5233975,0.5823688,0.41164362,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.3925086e-06,5.7244397e-06,1.3708008e-06,2.3389747e-07,1.4129874e-07,
3,0.29394364,0.44514516,0.35270774,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.0072363e-09,2.9075213e-07,4.1771295e-07,1.089881e-09,6.5151205e-08,
4,0.9977372,0.54098815,0.22158675,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.8835686e-09,6.276869e-06,5.2794952e-08,4.6535944e-05,6.704618e-09,
5,0.33028895,0.48375976,1.6844528,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.6169304e-07,1.0963146e-06,1.3739427e-06,5.1680615e-09,9.16957e-11,
6,0.2524491,0.5094856,0.97171724,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.2722932e-07,3.6631278e-05,4.2757523e-07,7.77194e-06,6.542052e-07,
7,0.9978938,0.46734515,0.4058101,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.324492e-11,9.159099e-07,3.1554467e-08,1.3637826e-07,6.141058e-08,
8,0.60322505,0.82139474,0.885499,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,5.668691e-07,3.5522277e-12,6.314139e-08,4.7658168e-07,9.743378e-06,
9,0.4558225,2.8979192,0.7751838,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.8770893e-06,3.36884e-10,3.4823827e-06,1.2630259e-08,1.4746132e-07,
10,0.82169986,1.3604752,1.975025,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.2794957e-07,2.5816016e-06,5.636982e-09,1.9036137e-09,9.323017e-11,
11,0.3287139,0.67082065,0.6893723,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,2.7711266e-07,8.839666e-06,8.045322e-07,3.82408e-08,7.784078e-06,
