,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.29525423,0.71873,0.23757683,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,5.4568586e-06,2.5699793e-09,9.810119e-06,6.118735e-09,1.6545699e-06,
1,0.3659586,0.6978732,0.80118287,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,5.456859e-06,7.952163e-09,1.0518573e-06,9.132618e-08,6.8531867e-06,
2,0.3764805,0.57016397,0.44085145,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.2370034e-06,5.157972e-06,1.1099723e-06,2.541448e-07,1.679435e-07,
3,0.2598447,0.515051,0.5165385,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,3.6978591e-09,3.3818745e-07,4.0014956e-07,1.0841593e-09,8.203056e-08,
4,0.5725414,0.4263765,0.21592876,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.7852384e-09,5.0940016e-06,3.1964532e-08,4.5193716e-05,8.0505345e-09,
5,0.3481393,0.42458147,1.7050465,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.7549853e-07,1.0975143e-06,1.3342755e-06,4.5308948e-09,9.271529e-11,
6,0.19940697,0.3981008,1.0294304,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.4654806e-07,3.1245498e-05,3.1890974e-07,7.119594e-06,8.1252307e-07,
7,1.1828369,0.57175004,0.5382518,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,9.668585e-11,9.7001e-07,3.607146e-08,1.5753976e-07,7.690993e-08,
8,1.0881277,0.7805859,0.823664,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,7.9239067e-07,3.2237867e-12,8.148134e-08,4.9904605e-07,9.986332e-06,
9,0.44928882,3.158743,0.78835243,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,6.989309e-06,3.402878e-10,2.8862528e-06,1.3629323e-08,1.4846628e-07,
10,0.9055684,1.3174332,2.0434904,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.6152077e-07,2.5078234e-06,5.4148606e-09,1.8976194e-09,9.929989e-11,
11,0.37938574,0.5349808,0.52460945,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,3.044773e-07,7.75582e-06,8.4509946e-07,3.475897e-08,6.7514593e-06,
12,0.41095763,0.67299324,0.84809774,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,7.307389e-08,5.1951065e-07,1.0006032e-07,2.2637203e-06,7.2937756e-10,
13,0.6298068,0.81880987,2.6730993,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.3789961e-07,4.8635176e-09,1.9876175e-08,3.76246e-09,9.159307e-11,
14,0.6880212,0.22195655,0.3005922,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.686244e-08,6.266724e-08,2.0075114e-10,1.5786626e-06,1.3069433e-06,
15,0.51907635,2.6322763,2.7435734,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,2.0515705e-07,4.1900428e-08,5.9699023e-06,1.7578026e-07,2.0610858e-07,
16,0.24181272,0.92849874,0.34762746,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,4.589494e-06,2.9415432e-09,9.5528985e-06,6.9060797e-09,2.1151907e-06,
17,0.2578722,0.8749053,1.0120853,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,4.5894944e-06,8.995276e-09,8.8126654e-07,1.0121635e-07,7.653302e-06,
18,0.36116606,0.70946395,0.62333596,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.2373392e-06,6.4970027e-06,1.0645321e-06,2.5106013e-07,1.885207e-07,
19,0.34595358,0.7134398,0.59247833,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.238346e-09,3.4634755e-07,4.648151e-07,1.4663768e-09,9.18736e-08,
20,0.81109774,0.3711802,0.253257,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,2.159233e-09,4.646731e-06,3.7439612e-08,4.3130163e-05,1.0351117e-08,
21,0.3332192,0.59742045,1.964855,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,1.8112158e-07,1.09406e-06,1.2374445e-06,6.3954637e-09,1.07180216e-10,
22,0.20498374,0.44603255,0.8017782,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,2.994551e-07,3.080291e-05,3.7938366e-07,8.091414e-06,6.419315e-07,
23,1.6922035,0.67953134,0.5807942,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,1.209115e-10,1.0760891e-06,4.1265462e-08,1.6878016e-07,7.480785e-08,
24,0.77009016,1.0171691,1.1038846,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,6.22053e-07,4.06547e-12,7.345676e-08,5.156661e-07,1.06129255e-05,
25,0.35547343,4.1584616,1.1503012,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,5.774639e-06,4.3082637e-10,2.7639194e-06,1.4172183e-08,1.7110516e-07,
26,1.1249883,1.2593379,2.4205437,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,2.9319358e-07,2.6049308e-06,6.000201e-09,1.7463188e-09,1.13237385e-10,
27,0.3022865,0.673279,0.6199743,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,2.572925e-07,8.273562e-06,7.968441e-07,4.1007084e-08,7.479462e-06,
28,0.46633223,0.82947266,1.015598,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,7.9485815e-08,5.936934e-07,1.04383744e-07,2.441442e-06,7.6429424e-10,
29,0.85153526,1.1126763,3.958207,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,2.7343953e-07,5.9734884e-09,2.3380862e-08,4.1627484e-09,1.1042528e-10,
30,0.64662665,0.24019076,0.36781916,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,1.5354857e-08,7.4927776e-08,2.0719747e-10,1.428813e-06,1.3375533e-06,
31,0.3526869,2.8399131,2.2183993,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,1.6476241e-07,4.415545e-08,5.050724e-06,1.7996076e-07,1.5814422e-07,
32,0.311959,0.95281684,0.33694392,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,5.035446e-06,2.7352776e-09,1.1232602e-05,7.621378e-09,2.2047884e-06,
33,0.32353327,0.5669138,0.8422757,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,5.035446e-06,6.5543553e-09,1.0077404e-06,9.001007e-08,8.741189e-06,
34,0.4503904,0.47108966,0.4285572,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,1.2553166e-06,4.763361e-06,1.3085081e-06,2.2737908e-07,1.7678491e-07,
35,0.39328945,0.67846805,0.5563532,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,4.050727e-09,3.5253356e-07,5.528893e-07,1.3700275e-09,8.4757964e-08,
36,0.77788323,0.39684966,0.3149012,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,1.8649629e-09,5.3741405e-06,4.157209e-08,3.9871342e-05,1.1128551e-08,
37,0.46891508,0.693551,1.6219214,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,2.2771572e-07,1.0999424e-06,1.3850553e-06,7.3848483e-09,8.8000496e-11,
38,0.26727077,0.59805745,0.92756766,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,3.268242e-07,3.6067682e-05,4.5324e-07,9.2656155e-06,6.342398e-07,
39,0.9738171,0.6371652,0.53983724,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,8.889964e-11,9.873139e-07,3.229826e-08,1.7248723e-07,7.578456e-08,
