,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,5.201031542211555e+16,1457035207535416.2,7.401681954381943e+18,127061263370828.7,6132035189669853.0,1549125489917999.8,1.7989262461899333e+18,247568580917338.62,8.457314683779767e+20,7.413898690467654e+17,4.5137422345135334e+18,2201353859440714.0
std,3.1151760334912425e+18,1.3348799097443851e+17,8.202352888413675e+20,8415971825667230.0,4.9714056095586656e+17,1.0883700517459469e+17,1.959999301023376e+20,1.1026264116151044e+16,6.881225049413539e+22,6.203142460815023e+19,4.883285431519366e+20,1.1673598096996371e+17
min,3.051407e-12,7.092346700000001e-12,5.873808000000001e-13,3.1533714e-13,8.156626000000001e-13,1.8598498e-11,1.2086346000000001e-12,6.6977326e-12,8.1406446e-14,9.832143e-14,3.2402026e-14,8.649942e-12
25%,1.345054475,1.7711802750000003,2.656569375,3.382700325,5.462432675,7.0027315,10.14527475,13.528599499999999,1.4865414750000001,1.9754797,3.4379288750000003,4.14393845
50%,1557.2362,856.51898,1515.53885,1685.7952,4055.0641,3081.66815,5515.9492,6035.50785,1739.83215,1547.1723000000002,2446.6416,2721.6844499999997
75%,1332166.075,555853.7000000001,963436.65,928447.2875000001,3099369.8,1869628.375,3035649.5,3036949.3,1743240.5,992457.625,1915395.475,1752671.25
max,2.5439017e+20,1.4721213e+19,9.092411e+22,8.9987894e+17,5.4445327e+19,1.0925548e+19,2.172568e+22,8.94202e+17,6.839965e+24,6.313205e+21,5.412291e+22,9.936169e+18
