,AAB: S(AAB|prime),AAB: S(ABA|prime),AAB: S(ABB|prime),AAB: S(ABC|prime),ABA: S(AAB|prime),ABA: S(ABA|prime),ABA: S(ABB|prime),ABA: S(ABC|prime),ABB: S(AAB|prime),ABB: S(ABA|prime),ABB: S(ABB|prime),ABB: S(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,73.95993821373779,72.98075230843158,71.25326117536328,75.07901748951964,72.34961086905476,71.14794382932732,69.41978926836757,73.27470331998718,73.70986166092769,72.40289251354115,70.69546144663244,74.50734921286694
std,13.100388132436317,12.134879838161108,13.10145236392743,12.203432757802728,12.358822830586167,11.310811337825173,12.254071956046689,11.321356722582495,13.417002213448269,12.300490395606268,13.096836986666263,12.389174526949766
min,30.084001990461473,32.39313426213508,9.355385193579355,39.27407327835358,28.7191678017926,31.664360388755856,11.698610368083031,41.32728556314153,28.017952723568982,27.38793194377969,12.502829443244293,37.24184268603264
25%,64.35293011165098,64.01275861998491,61.66406566480896,65.88311515867724,63.432809383160006,62.93424214767275,60.72947630183134,65.00273137504283,63.905493651032366,63.46238198878455,61.2678255086298,65.2259571813619
50%,73.24202188271653,72.1255291244594,70.27441311993844,74.31001585805087,71.37619272113969,70.16366116171254,68.41367221119305,72.07689774167821,72.47263365838937,71.08685470642367,69.40749653807251,73.17656014843465
75%,82.93784462305067,81.05708921537982,79.87650705062731,83.19427352290643,80.33877590424999,78.33550240427107,77.17893388925879,80.43053833885838,82.64986807381447,80.2324652735428,78.94789975259843,82.4886804643764
max,118.73877719469887,117.61825964397875,120.385379384413,124.08449813475491,118.98609802062384,113.99343630010586,114.58696626630821,118.49925645007454,119.8193282442827,119.39073016542216,120.97970084680264,122.40363880510309
