,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.07333232,12.0939245,7.165427,18.076902,29152,16055,17286,7.2939675e-11,2.4826325e-11,2.7806872e-13,1.5398436e-13,1.2770505e-12,5.7946667e-15,5.860732e-14,1.0488016e-13,2.5378121e-11,4.4082163e-10,2.1660538e-09,2.4795424e-11
1,0.17772175,0.11480352,0.440495,1.1265954,29152,25489,17286,7.2939675e-11,2.2766754e-11,1.0753022e-13,1.4350429e-14,6.86944e-13,1.6786871e-16,5.860732e-14,3.6652796e-14,2.3783902e-11,1.0233262e-12,1.8795605e-10,1.1747129e-13
2,0.15680954,0.006364175,8.911415,0.06484961,29152,689,17286,7.2939675e-11,3.220351e-13,1.9745403e-15,4.535914e-09,8.876438e-12,2.8422322e-11,5.860732e-14,1.1747554e-15,3.8534565e-13,7.913392e-09,2.1684087e-08,5.05269e-10
3,0.39826715,216.68681,18.185265,30.096937,29152,10860,17286,7.2939675e-11,1.6677504e-10,2.9415148e-13,9.164923e-13,1.8137127e-11,1.545413e-13,5.860732e-14,2.4498887e-13,1.4579998e-10,1.3519043e-07,2.245292e-07,3.1662966e-09
4,108.49007,6109.287,3236.7678,4567.4736,17286,16055,24188,3.3112822e-13,1.1384406e-12,2.0815908e-11,9.336591e-13,2.0208006e-10,1.7783646e-13,3.4288932e-12,7.654332e-11,2.1808588e-10,8.483634e-11,9.728325e-09,1.2080919e-11
5,403.6688,11097.158,7788.148,1073.1855,17286,25489,24188,3.3112822e-13,2.6392176e-14,7.296344e-13,3.689237e-14,2.030101e-11,2.0960315e-13,3.4288932e-12,1.0449225e-11,2.8442823e-11,1.0340451e-12,3.9934012e-10,5.68151e-13
6,205.06787,120.94194,72274.055,1.3138027,17286,689,24188,3.3112822e-13,1.4490379e-14,3.2055042e-13,3.0405085e-09,5.9761265e-11,1.877856e-10,3.4288932e-12,1.0155508e-12,6.3479894e-12,5.246881e-09,6.162831e-08,3.520226e-12
7,13.099777,22606836.0,519541.1,152121.28,17286,10860,24188,3.3112822e-13,1.341867e-11,2.3612148e-10,4.2950114e-15,4.070024e-13,1.6667184e-14,3.4288932e-12,1.0418919e-10,2.9870442e-10,1.25052075e-08,2.7233513e-08,3.26542e-10
8,3145639.8,2307516.0,6925107.5,22954500.0,24188,16055,1288,7.7909256e-13,6.0797884e-13,4.8936497e-11,1.8528899e-11,4.674758e-10,1.3057681e-12,1.8269622e-08,4.5587353e-08,6.5644956e-09,5.7021476e-10,4.317474e-08,3.9974038e-10
9,15469185.0,155756020.0,232639950.0,569575230.0,24188,25489,1288,7.7909256e-13,1.0880722e-14,2.4819673e-12,1.4737248e-13,5.2974925e-12,3.5394216e-15,1.8269622e-08,3.1631673e-09,1.6372801e-09,7.895812e-11,4.2392614e-09,6.934561e-12
