,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,1478468506.4497464,8448235273.696115,4625342.399731378,,170497187.9231126,246342945994.8649,26028395.205920924,,486945.3168126,1374075844.3056002,29253.144934346736,
std,5689451157.11525,30925000029.217373,10802773.781181207,,628740359.7581044,952176471963.5176,87483223.95926279,,1569299.1754065454,4573474286.446557,96379.53088354271,
min,1.8090825e-05,0.07538337,209.1557,,35.766293,9.3785715,8.337813,,8.1322934e-05,0.0064221183,0.01820416,
25%,9974.135275,156409.960725,218681.76375,,31411.715999999997,15083.59875,9961.136,,3.4756338500000004,14.112116250000003,101.7430425,
50%,357427.32,2732179.58,695656.6699999999,,563839.5,2104338.53,216607.72999999998,,74.003715,717.13555,748.96435,
75%,12390854.5,803191725.0,2314976.45,,5115192.325,702113825.0,2398130.0250000004,,3338.654825,2898049.975,3221.3951,
max,23512556000.0,128178045000.0,43906620.0,,2604282400.0,3933954600000.0,362660670.0,,6436435.0,18844576000.0,399571.56,
