,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,2.3296630117517094,2.4951724746102104,2.739907688455423,,2.278387066394045,2.4246516511930216,2.6309836468367425,,2.390300208976245,2.486392019440907,3.0007361878524144,
std,1.9293222529084055,2.1168971534574856,2.9391721754749285,,2.107046511305446,2.0920518875661793,2.5537475484998255,,2.4569254462567747,2.3360079887990786,3.77956711611378,
min,0.07453123,0.120750256,0.14581935,,0.08169882,0.12786159,0.13717966,,0.07551208,0.15740359,0.18704203,
25%,1.170455575,1.2472570000000003,1.2590242999999999,,1.1343153,1.2196423,1.230554225,,1.17749175,1.281067225,1.3833770250000001,
50%,1.81727035,1.9540578,1.99280745,,1.747945,1.89146145,1.9661885499999998,,1.7882319500000001,1.9223737,2.1938344,
75%,2.8999879249999996,3.0830216999999998,3.3049032500000006,,2.7970670499999994,3.001848375,3.2117538250000006,,2.880190825,3.042482075,3.594841775,
max,38.66577,52.505814,92.69495,,48.250565,39.253215999999995,61.1919,,57.393330000000006,58.33135600000001,132.28981000000002,
