,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,1.2272817,1.4124238,1.0981102,,1304,8948,,2.4351719e-08,1.2163476e-09,1.39405e-09,2.452547e-08,1.2041308e-09,,3.299231e-08,1.2551972e-09,1.2628142e-09,3.3568206e-08,1.2813429e-09,
1,1.7096002,0.88940316,1.0307659,,44718,46494,,7.6334383e-10,5.2139626e-09,3.99272e-09,1.1177208e-09,5.1006768e-09,,9.995615e-10,5.197522e-09,5.2128364e-09,9.97249e-10,5.2742344e-09,
2,1.4215859,1.4662024,1.5019577,,44718,8948,,7.633439e-10,1.1798752e-09,1.1677064e-09,7.324312e-10,9.150441e-10,,9.995614e-10,1.2586667e-09,1.2677029e-09,1.0066676e-09,1.2883238e-09,
3,1.7096003,0.88940305,1.0307658,,44718,46494,,7.6334383e-10,5.2139626e-09,3.9927204e-09,1.1177207e-09,5.1006763e-09,,9.995615e-10,5.197522e-09,5.2128373e-09,9.972487e-10,5.2742335e-09,
4,1.2272817,1.4124238,1.0981102,,1304,8948,,2.4351719e-08,1.2163476e-09,1.39405e-09,2.452547e-08,1.2041308e-09,,3.299231e-08,1.2551972e-09,1.2628142e-09,3.3568206e-08,1.2813429e-09,
5,1.1830695,1.0682157,0.7225702,,1304,46494,,2.4351719e-08,5.8285154e-09,5.9191283e-09,2.7593577e-08,6.405548e-09,,3.2992315e-08,5.1607034e-09,5.1687414e-09,3.329017e-08,5.227396e-09,
6,1.183069,1.0682157,0.72257024,,1304,46494,,2.4351719e-08,5.8285154e-09,5.9191296e-09,2.7593575e-08,6.4055476e-09,,3.299231e-08,5.160703e-09,5.1687414e-09,3.329017e-08,5.227396e-09,
7,1.4215863,1.4662025,1.5019575,,44718,8948,,7.6334383e-10,1.1798751e-09,1.1677065e-09,7.324313e-10,9.150442e-10,,9.995615e-10,1.2586667e-09,1.2677033e-09,1.0066677e-09,1.2883238e-09,
8,1.4215859,1.4662024,1.5019573,,44718,8948,,7.633439e-10,1.1798752e-09,1.1677065e-09,7.324313e-10,9.150442e-10,,9.995614e-10,1.2586667e-09,1.267703e-09,1.0066677e-09,1.2883238e-09,
9,1.1830695,1.0682157,0.7225702,,1304,46494,,2.4351719e-08,5.8285154e-09,5.9191283e-09,2.7593577e-08,6.405548e-09,,3.2992315e-08,5.1607034e-09,5.1687414e-09,3.329017e-08,5.227396e-09,
