,AAB: P(AAB|prime),AAB: P(ABA|prime),AAB: P(ABB|prime),AAB: P(ABC|prime),ABA: P(AAB|prime),ABA: P(ABA|prime),ABA: P(ABB|prime),ABA: P(ABC|prime),ABB: P(AAB|prime),ABB: P(ABA|prime),ABB: P(ABB|prime),ABB: P(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,9.377991198983827e+22,3064712342363.888,2052611616075.0789,,5833938791777.232,4.581266895852484e+23,1.5577964521772786e+19,,1.4751602854880776e+18,1.759423569617664e+18,9.526667033119694e+22,
std,3.2183737100334015e+24,104942463642684.48,63776174988128.67,,167341702661468.44,2.538821077352331e+25,8.63235145029195e+20,,7.879271443118825e+19,8.747239227737676e+19,5.276770139633299e+24,
min,5.9527983e-09,3.1623257000000002e-15,2.1717365000000002e-16,,3.871958e-13,4.8890437e-11,3.106322e-11,,1.0108608e-12,1.3466484000000002e-13,1.286107e-13,
25%,595.218,0.0059274585,0.003598654125,,0.062589586,15.594357,0.37489188,,1.417420925,0.0105151725,0.1243546,
50%,1137434.75,4.43195525,2.1967058,,53.9405525,17852.04,564.3386,,2035.89795,10.150773000000001,174.55367,
75%,3509897725.0,3909.30175,2849.4331749999997,,52569.67675,18817721.0,800567.1000000001,,2819552.625,19507.97425,475118.97,
max,1.5024693e+26,4806017400000000.0,3295467700000000.0,,7832026400000000.0,1.4073293e+27,4.7851196e+22,,4.3667856e+21,4.8127864e+21,2.9250404e+26,
