,AAB: S(AAB|prime),AAB: S(ABA|prime),AAB: S(ABB|prime),AAB: S(ABC|prime),ABA: S(AAB|prime),ABA: S(ABA|prime),ABA: S(ABB|prime),ABA: S(ABC|prime),ABB: S(AAB|prime),ABB: S(ABA|prime),ABB: S(ABB|prime),ABB: S(ABC|prime)
count,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0,12288.0,12288.0,12288.0,0.0
mean,44.673069362149846,50.869762684578745,46.99922719330672,,43.93081131331965,50.047271627787715,46.011916707002165,,44.74258402493058,51.006431226288136,47.02165557212793,
std,13.462213142723883,15.812189756290966,12.357273319307295,,12.927222009797147,15.308737576720862,12.037799647941956,,13.77807243901587,16.113774708301033,12.587745817545152,
min,4.1042906616141694,7.916932231003357,0.5574013463386858,,4.6374165367905436,7.930102925970465,0.6260380956953067,,4.092556518504484,6.036019111132183,0.5292261517260691,
25%,36.76565428683513,42.07141107160277,38.936787131471604,,36.34386242273257,41.356850977489174,38.053120738048094,,36.609833573035516,41.64081551248172,38.966319067175306,
50%,44.75564828754996,50.74993146002705,47.87515399253663,,44.2912738912065,50.07536372685557,47.316894186929304,,44.697788995110116,50.69877476965431,47.87057508200766,
75%,52.471689097629586,59.62890483798417,55.35726136689675,,51.399470129509155,58.563034944443444,54.170109554764636,,52.570443602771974,60.01304988499695,55.03119621008567,
max,102.73624407256192,102.23794958379158,88.92042103487654,,97.36554235137103,98.62072417511635,84.28023959955436,,107.26336331356663,103.36113383251717,91.77324831098296,
