,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,1.1682196,1.4574515,1.4353266,1.8258934,47466,8072,8159,1.7524142e-11,2.5571617e-10,1.9032613e-10,1.1605369e-11,2.5010277e-10,2.5101924e-11,1.373102e-11,2.8061292e-10,2.8376373e-10,1.5413582e-11,3.2712955e-10,4.176697e-11
1,1.1774628,1.1353124,1.3618735,1.6578165,47466,44407,8159,1.7524144e-11,4.4580157e-09,3.27986e-09,1.5300324e-11,4.389161e-09,2.7318885e-11,1.3731021e-11,4.8661066e-09,4.9287467e-09,1.5913878e-11,5.476187e-09,4.1491525e-11
2,1.3099519,1.5693011,1.553588,1.5981663,47466,46180,8159,1.7524142e-11,9.48554e-11,5.693868e-11,1.0119313e-11,7.327674e-11,2.7084201e-11,1.373102e-11,9.586497e-11,9.519118e-11,1.5713012e-11,1.1264298e-10,4.2829216e-11
3,1.6202178,1.1448783,1.5891544,1.3738618,47466,7113,8159,1.7524144e-11,2.3424518e-10,1.6836382e-10,2.0011708e-11,3.3849304e-10,4.505031e-11,1.3731021e-11,3.4313546e-10,3.481418e-10,1.5640425e-11,3.672154e-10,4.225187e-11
4,0.6628243,1.033682,1.0418845,1.5941724,8159,8072,44119,4.144871e-11,2.91507e-10,4.865601e-10,4.4371957e-11,3.1465763e-10,1.587572e-11,4.3313776e-11,2.934774e-10,3.0861702e-10,4.555855e-11,3.2563588e-10,2.5138714e-11
5,0.7312989,0.69120234,0.6457034,1.088792,8159,44407,44119,4.1448713e-11,6.73622e-09,7.486682e-09,4.7710058e-11,6.510511e-09,1.661367e-11,4.331378e-11,5.0566413e-09,5.239252e-09,4.3930814e-11,5.600183e-09,2.409709e-11
6,0.94929975,1.0115442,1.2819841,1.6470299,8159,46180,44119,4.144871e-11,1.2677995e-10,1.2069745e-10,3.9194627e-11,8.023401e-11,1.3066801e-11,4.3313776e-11,1.05462514e-10,1.0964439e-10,4.766108e-11,1.2364984e-10,2.5871595e-11
7,1.3036016,1.0228399,1.5002391,1.7133791,8159,7113,44119,4.1448713e-11,3.3428585e-10,2.9287514e-10,4.815528e-11,2.6600477e-10,1.572872e-11,4.331378e-11,3.5209974e-10,3.6535275e-10,4.676316e-11,3.7888045e-10,2.558581e-11
8,2.1131144,2.3291774,1.6289585,1.819204,44119,8072,39309,2.0928112e-11,2.726451e-10,1.6534478e-10,1.1679054e-11,2.0975068e-10,1.0700846e-10,2.4043888e-11,2.975772e-10,3.0411568e-10,2.4923457e-11,3.130483e-10,1.7836002e-10
9,1.8640482,2.5492775,1.4497555,1.6483624,44119,44407,39309,2.0928112e-11,3.9685837e-09,3.1789829e-09,1.2223284e-11,4.9232183e-09,1.418906e-10,2.4043887e-11,5.0938644e-09,5.1578737e-09,2.4276898e-11,5.5607328e-09,1.8221935e-10
10,2.1345518,1.6722764,1.4080904,1.3648201,44119,46180,39309,2.0928112e-11,1.3074072e-10,5.5199637e-11,1.2212781e-11,6.519278e-11,1.1066254e-10,2.4043888e-11,1.0207934e-10,1.025577e-10,2.6157465e-11,1.1757177e-10,1.9344125e-10
11,3.1865687,3.7498858,4.017029,2.882605,44119,7113,39309,2.0928112e-11,2.3326974e-10,1.3206697e-10,1.0743506e-11,1.5019061e-10,9.880147e-11,2.4043887e-11,3.582845e-10,3.6630501e-10,2.6229768e-11,3.9280595e-10,1.8542953e-10
12,0.93799114,1.114769,1.4203068,1.8447287,39309,8072,47466,1.9761456e-10,2.5669789e-10,2.949841e-10,1.869515e-10,2.440373e-10,8.494498e-12,1.836418e-10,2.9003322e-10,2.9774522e-10,1.844541e-10,3.0677e-10,1.3868986e-11
13,0.81320816,0.7046784,0.830688,1.0569038,39309,44407,47466,1.9761454e-10,6.167526e-09,6.413646e-09,2.352741e-10,6.114923e-09,1.1700122e-11,1.8364178e-10,5.3636886e-09,5.6124714e-09,1.9063934e-10,5.840854e-09,1.4219138e-11
14,1.0229532,1.0621545,1.4320576,1.9985721,39309,46180,47466,1.9761456e-10,1.02919194e-10,9.256556e-11,1.8552777e-10,7.9563495e-11,7.2592457e-12,1.836418e-10,1.01395746e-10,1.0189493e-10,2.0001993e-10,1.15651426e-10,1.4726107e-11
15,1.4425292,1.3809408,2.713091,2.7778113,39309,7113,47466,1.9761454e-10,2.6114638e-10,2.4219965e-10,1.906533e-10,1.9256248e-10,7.135042e-12,1.8364178e-10,3.5849856e-10,3.7596337e-10,1.917856e-10,3.8056827e-10,1.4437628e-11
