,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
0,0.8037028,0.70562124,0.66042143,0.8528773,29421,29696,2457,5.9766725e-10,5.4226925e-11,4.907972e-11,5.9783384e-10,7.723242e-11,1.3228253e-09,4.4024615e-10,5.072634e-11,5.3550244e-11,4.5095538e-10,5.4525832e-11,1.2060645e-09
1,0.82882303,0.7884582,0.88919014,1.2102433,29421,753,2457,5.9766725e-10,1.0338195e-09,8.534319e-10,5.4337485e-10,1.0489498e-09,9.259705e-10,4.4024617e-10,9.294235e-10,9.602726e-10,4.765509e-10,1.0374817e-09,1.2465249e-09
2,1.164502,1.5523473,2.422034,1.8335689,29421,46898,2457,5.9766725e-10,6.128768e-05,5.927574e-05,4.5707038e-10,6.4515225e-05,1.0241314e-09,4.4024615e-10,9.5474235e-05,9.3708964e-05,4.5546916e-10,0.00010030659,1.2054244e-09
3,1.1096336,1.5052207,2.1591747,1.5945673,29421,20640,2457,5.9766725e-10,2.2536783e-11,2.1060988e-11,4.073015e-10,2.1717184e-11,1.0492065e-09,4.4024617e-10,2.9778645e-11,3.17265e-11,4.6398418e-10,3.5487734e-11,1.2661665e-09
4,0.5443335,0.5356103,0.4453937,0.5000404,2457,29696,2594,1.3774429e-09,6.4987134e-11,6.957174e-11,1.6117656e-09,8.1863995e-11,2.551051e-09,1.1155707e-09,4.6491297e-11,4.675999e-11,1.2067201e-09,5.0967425e-11,1.7831173e-09
5,0.5902826,0.6378469,0.5645022,0.56677634,2457,753,2594,1.3774428e-09,1.1696272e-09,1.2222483e-09,1.4670383e-09,1.3557537e-09,2.4836637e-09,1.1155707e-09,8.9178204e-10,8.908322e-10,1.2272884e-09,1.0037722e-09,1.8462617e-09
6,1.3330469,1.2158837,2.2457392,1.183575,2457,46898,2594,1.3774429e-09,6.668803e-05,5.7329707e-05,1.4336875e-09,6.514003e-05,2.1835456e-09,1.1155707e-09,9.5866286e-05,9.4362986e-05,1.2126307e-09,0.00010176286,1.7977944e-09
7,0.67653024,0.6541529,0.73216397,0.5781299,2457,20640,2594,1.3774428e-09,2.9726274e-11,3.3740625e-11,1.7192098e-09,3.9779298e-11,2.9825868e-09,1.1155707e-09,2.7742586e-11,2.818492e-11,1.2050407e-09,3.1207502e-11,1.8476174e-09
8,0.73591816,0.7761861,0.90952593,1.1593322,2594,29696,43998,2.2637372e-09,5.481283e-11,6.4439995e-11,2.5876756e-09,6.419767e-11,7.66583e-11,1.8841255e-09,5.406783e-11,5.697721e-11,2.0361932e-09,5.919399e-11,9.0097e-11
9,0.631971,0.84184533,0.86400133,1.1788346,2594,753,43998,2.2637372e-09,1.0751875e-09,1.3368864e-09,2.2348798e-09,1.1561015e-09,7.15764e-11,1.8841255e-09,9.87674e-10,1.0150977e-09,2.048128e-09,1.0873791e-09,9.185298e-11
10,1.5964667,1.4963622,2.7214537,2.4136326,2594,46898,43998,2.2637372e-09,6.145887e-05,5.0862564e-05,2.1932391e-09,6.2823856e-05,5.977459e-11,1.8841255e-09,9.943868e-05,9.756056e-05,2.0283923e-09,0.00010567075,8.916964e-11
11,0.87783366,1.0178729,1.748212,1.7477183,2594,20640,43998,2.2637372e-09,2.2899124e-11,3.1540017e-11,2.8117997e-09,2.7653543e-11,7.093817e-11,1.8841255e-09,3.1633397e-11,3.3265214e-11,2.071815e-09,3.4995958e-11,8.974793e-11
12,0.32608208,0.34985676,0.36466593,0.6977933,43998,29696,29421,1.5159367e-10,6.9295646e-11,9.440729e-11,2.0297466e-10,1.113568e-10,4.7624893e-10,8.920712e-11,5.0445453e-11,5.231352e-11,9.754747e-11,5.578223e-11,4.5650414e-10
13,0.3861258,0.44804305,0.47605595,0.71177155,43998,753,29421,1.5159367e-10,1.3229153e-09,1.4768912e-09,1.5467602e-10,1.5587199e-09,4.6639437e-10,8.920713e-11,9.460873e-10,9.690782e-10,9.6904415e-11,1.0375927e-09,4.6418888e-10
14,0.94452935,0.9132517,2.7892702,1.4139004,43998,46898,29421,1.5159367e-10,6.2909065e-05,6.0729904e-05,1.649205e-10,5.7660414e-05,5.103683e-10,8.920712e-11,9.924281e-05,9.7476426e-05,9.547272e-11,0.00010194889,4.574216e-10
15,0.4571072,0.80369234,1.1910472,1.5364219,43998,20640,29421,1.5159367e-10,2.957062e-11,3.9572498e-11,1.2758461e-10,3.0080334e-11,3.0313846e-10,8.920713e-11,2.9407293e-11,3.073923e-11,1.0310828e-10,3.602608e-11,4.683353e-10
16,5.4006085,3.3510807,6.153524,3.5368543,39867,21425,15215,1.4870111e-10,2.7102098e-10,1.4403878e-10,1.3001347e-10,1.7394343e-10,3.5860373e-10,2.1933953e-10,5.270561e-10,5.2737487e-10,2.2403676e-10,5.5039945e-10,6.5219585e-10
17,2.5541441,2.5452044,2.782466,2.6087444,39867,44594,15215,1.4870111e-10,2.4936674e-11,1.9906536e-11,1.2710112e-10,1.7581662e-11,3.358468e-10,2.1933955e-10,3.3168926e-11,3.4469767e-11,2.4320873e-10,3.6778743e-11,6.5868816e-10
18,3.4509552,1.9814805,2.126597,2.1232412,39867,28345,15215,1.4870111e-10,3.7231745e-10,1.7862296e-10,1.2872366e-10,2.0798169e-10,3.1601594e-10,2.1933953e-10,4.1246515e-10,4.179015e-10,2.302366e-10,3.9924222e-10,6.056678e-10
19,2.9070377,3.041291,3.1967428,2.90847,39867,44961,15215,1.4870111e-10,5.930245e-09,5.3007962e-09,1.3509764e-10,6.0249614e-09,3.833248e-10,2.1933955e-10,1.0313401e-08,1.0446939e-08,2.3625255e-10,1.1074719e-08,6.4106526e-10
