,AAB: S(AAB|prime),AAB: S(ABA|prime),AAB: S(ABB|prime),AAB: S(ABC|prime),ABA: S(AAB|prime),ABA: S(ABA|prime),ABA: S(ABB|prime),ABA: S(ABC|prime),ABB: S(AAB|prime),ABB: S(ABA|prime),ABB: S(ABB|prime),ABB: S(ABC|prime)
count,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0,12288.0
mean,57.64734998974467,57.61836618452088,57.525318747552234,57.70721418541754,57.71973116794789,57.69103311846533,57.59671313151474,57.773941702598115,57.660951090735665,57.634738145961734,57.54440169814661,57.71828817650994
std,9.555654430664267,9.550674989705282,13.579563634749142,9.543408269151117,9.581537762126864,9.576757166175778,13.613301824782459,9.567633568487224,9.552094884476633,9.547626172331045,13.578169994469018,9.538614348268753
min,20.878845179930487,20.883053233705088,14.441362411566956,21.017133985303296,20.895976486917142,20.899773252342086,14.529905043456615,21.003216761376954,20.780412684175673,20.78591217868695,14.630490458809827,20.960878051520098
25%,50.98559412855424,50.94631086199432,51.02570233550628,51.016738788141744,51.051705450839634,51.028854721220654,51.005282656245505,51.059219138609436,51.00486372833977,50.975157638781084,51.00760006446791,51.06157803955854
50%,59.66095451960129,59.610767147306376,61.79161403726686,59.68969991613295,59.708464818667764,59.68390798674234,61.84443005125266,59.78026871978081,59.65041913431421,59.62664581284022,61.77486512838112,59.71107919219341
75%,64.91161605290995,64.88106815508141,66.67009690255614,64.95910621448517,65.0214496417619,64.98597572814822,66.78296921136388,65.06366965099645,64.92373688292952,64.8975497089185,66.68023239493637,64.96654088080683
max,94.01706897735333,93.96666495590549,111.254018242657,93.99719998759298,93.92053200390004,93.87691774751387,111.30642753547541,93.93924600015173,93.43732291412044,93.35892334510777,114.62260132979532,93.30994273855407
